Geo Point;Geo Shape;ID;adresse;patrimoine
43.6146672601, 1.47964488991;"{""type"": ""LineString"", ""coordinates"": [[1.48017855266664, 43.614099486337224], [1.479111227155002, 43.61523503385054]]}";544;Rue Sophie Germain;12 CHENE VERT
43.6398405502, 1.45016450571;"{""type"": ""LineString"", ""coordinates"": [[1.450286906007922, 43.638759072960454], [1.45004210541529, 43.64092202743846]]}";547;RUE ARRIA LY;8 ERABLE,8 ARBRE DE JUDEE , 19 CHENE VERT , 14 CHENE
43.635019799, 1.42669707509;"{""type"": ""LineString"", ""coordinates"": [[1.427541155523509, 43.63612080830995], [1.427396220993738, 43.635935165103646], [1.427231302104445, 43.63584154309025], [1.426850304684452, 43.635734930852756], [1.426638460281219, 43.63560686160479], [1.426522369844302, 43.63547369230642], [1.426455821494941, 43.63527358080233], [1.42665571164556, 43.634596433473995], [1.426685009400255, 43.63438756854314], [1.426594700037596, 43.634181651392076], [1.426401528192743, 43.63401271134619], [1.425998026260437, 43.63387157215027]]}";18;RUE GARCIA-LORCA;38 PLATANE
43.6403567774, 1.41668571209;"{""type"": ""LineString"", ""coordinates"": [[1.417495849116949, 43.6407341068643], [1.415875575063554, 43.639979447906015]]}";455;Rue de Villeneuve-Arifat;48 PIN PARASOL
43.6166458679, 1.40929062948;"{""type"": ""LineString"", ""coordinates"": [[1.414610986384306, 43.611646538891115], [1.413929388673135, 43.611811405706234], [1.413308734692704, 43.61227075648418], [1.413033336790112, 43.61255939905873], [1.412455748699705, 43.61310340704061], [1.411274976306406, 43.6142066026271], [1.410956458984108, 43.61450835388597], [1.41066148072564, 43.61477569938488], [1.409942609272362, 43.61547858379754], [1.408958386614598, 43.61637245834541], [1.408363349028191, 43.61695549688274], [1.40816321802142, 43.61715378365866], [1.40799395942333, 43.61732599039048], [1.406511410070705, 43.62005704355224], [1.405605755154761, 43.621742414846786], [1.405085157974614, 43.622698386779156]]}";21;ROUTE DE BLAGNAC;171 PLATANE
43.6166646061, 1.4061793701;"{""type"": ""LineString"", ""coordinates"": [[1.406555197990846, 43.616883555389656], [1.405803542199948, 43.616445656821355]]}";517;ALL BOUISSET;34 CHENE VERT
43.6109600459, 1.45647970121;"{""type"": ""LineString"", ""coordinates"": [[1.455442375615524, 43.60982580266027], [1.455747785076438, 43.60983353767365], [1.455849997858091, 43.60986963119137], [1.455995562571909, 43.609931881881955], [1.456343128423963, 43.61016223461143], [1.457407985302915, 43.61087276399217], [1.457558486186148, 43.61098899508078], [1.457653746884571, 43.61120044360864], [1.457645992528687, 43.61140777022607], [1.457449335125167, 43.61162537503109], [1.457221459770042, 43.61178407767896], [1.457011602050537, 43.6118269636321], [1.456753662337139, 43.61183174430992], [1.45647556589932, 43.611738479519666], [1.456309887143622, 43.61162569931827], [1.455451866350012, 43.61104128398763], [1.454924187160299, 43.61067236893108]]}";182;PLACE MARENGO;13 CHENE ROUGE,44 ERABLE,15 CERISIER A FLEUR
43.6406101943, 1.44655790593;"{""type"": ""LineString"", ""coordinates"": [[1.448741524482939, 43.641091521048565], [1.448366461080827, 43.64106242459369], [1.446647866550313, 43.64105489040202], [1.446610775247451, 43.64097946046792], [1.446531396269606, 43.64093453554315], [1.446407615802479, 43.64090362748475], [1.446316188165, 43.64009643650013], [1.446239550128568, 43.640042404599036], [1.444442135055368, 43.64016628130523]]}";438;RUE DES BOUQUETINS;19 TILLEUL
43.6366514663, 1.45711104512;"{""type"": ""LineString"", ""coordinates"": [[1.45568680354961, 43.63495849054731], [1.45584188767644, 43.635044630347736], [1.456022494052001, 43.63506714355487], [1.456399350216794, 43.63523939837086], [1.456726897016543, 43.635371697456165], [1.458524843890945, 43.63636521282341], [1.457158302877108, 43.63731743653089], [1.457203935770929, 43.637353680515176], [1.457239585163185, 43.637387056438435], [1.456006621467398, 43.63847811972649], [1.455865260294678, 43.63884357502803]]}";451;Chemin Pujibet;49 FRENE,2 CHENE ROUGE,3 CEDRE,1 PIN PARASOL
43.5929489936, 1.48015069944;"{""type"": ""LineString"", ""coordinates"": [[1.481322149191017, 43.5925404492918], [1.481288812406566, 43.59284717733785], [1.481228699280548, 43.59288842548602], [1.479301664407183, 43.593429645463154], [1.479364279275889, 43.59283375626599], [1.480681889368234, 43.59241951240341]]}";436;RUE DE ROUDOUS;10 TILLEUL DE CRIMEE
