Geo Point;Geo Shape;ID;adresse;patrimoine
43.5854006523, 1.48813221611;"{""type"": ""LineString"", ""coordinates"": [[1.490789101906397, 43.58321771515347], [1.490568326384705, 43.583402159941585], [1.490269074783746, 43.58370985973065], [1.489884439837222, 43.58442033939959], [1.489692685667171, 43.584702024069294], [1.489487866740806, 43.5849524706279], [1.489156359776919, 43.58524238493037], [1.488757932914144, 43.58554420914755], [1.488235618312011, 43.58577222623775], [1.487815989063376, 43.58586359807779], [1.48742217845177, 43.58592789428437], [1.486990920449049, 43.58603190324289], [1.486457749792782, 43.58619032003705], [1.485990135595649, 43.5863916314596], [1.485603608606544, 43.58656749903594], [1.484997767517185, 43.58696894321443]]}";251;RUE DE MARTINI;70 POIRIER
43.5891919773, 1.49098115177;"{""type"": ""LineString"", ""coordinates"": [[1.491986567135512, 43.584867227381146], [1.491874190375948, 43.585141727741004], [1.49170722124575, 43.58538718965028], [1.491221203206268, 43.58592730268775], [1.491058578600118, 43.58620023242573], [1.490987987797778, 43.586411309756095], [1.490985285848168, 43.58662236612951], [1.491080926262212, 43.58727972060743], [1.491088511296523, 43.587277992177825], [1.491096073757095, 43.587277177187566], [1.491103636217466, 43.587276362196796], [1.491111176104555, 43.58727646064539], [1.491118738564638, 43.587275645653655], [1.491126278451663, 43.58727574410127], [1.491133827005249, 43.58727584266154], [1.491142623540172, 43.58727595751587], [1.491150140854777, 43.58727696940177], [1.491156424094143, 43.587277051439784], [1.491163941409111, 43.5872780633248], [1.491171458724332, 43.58727907520931], [1.491180232687741, 43.587280103500646], [1.491187750003482, 43.5872811153841], [1.491193988099636, 43.58728302429979], [1.491201505415965, 43.58728403618234], [1.491210256808992, 43.58728597791126], [1.491216494906349, 43.58728788682572], [1.49122398965225, 43.58728981214668], [1.491230227750429, 43.58729172106041], [1.491236443277784, 43.587294543413634], [1.491243915454029, 43.58729738217317], [1.4912514188685, 43.58729930760549], [1.491257634241946, 43.58730213625718], [1.491263827200821, 43.5873058720488], [1.491268786238273, 43.58730867169431], [1.491276258262092, 43.58731151675132], [1.491282428652525, 43.58731616598179], [1.491287364965548, 43.58731988536594], [1.491293557928042, 43.58732362115595], [1.491298494242345, 43.58732734053962], [1.49130343055725, 43.58733105992306], [1.49130962352186, 43.5873347957122], [1.491314537267984, 43.587339428534996], [1.491319473584843, 43.587343147917764], [1.491323108113076, 43.58734867777427], [1.491328044431205, 43.58735239715663], [1.491331701530576, 43.587357013573], [1.491336615280163, 43.58736164639485], [1.491340272380737, 43.58736626281092], [1.491343906912227, 43.58737179266674], [1.491346352503186, 43.58737456579735], [1.49134870781611, 43.58738099268734], [1.491351085543414, 43.58738651243701], [1.491353463426796, 43.58739202588703], [1.491355841310608, 43.587397539337], [1.491359475845369, 43.587403069192256], [1.491360574510121, 43.58740947967657], [1.491362961061811, 43.58741499323949], [1.491364082296494, 43.58742049028389], [1.491365203531375, 43.58742598732831], [1.491365045546011, 43.58743238140725], [1.491366144211875, 43.587438791891444], [1.491366008795907, 43.5874442725305], [1.491365873379915, 43.58744975316954], [1.49136571539456, 43.58745614724842], [1.491365557409172, 43.587462541327284], [1.491365421993099, 43.587468021966295], [1.491364029769376, 43.587473492499576], [1.491362615287315, 43.5874798638735], [1.491362479715289, 43.58748535081206], [1.491359808424791, 43.58749171208017], [1.491358407689109, 43.58749717620063], [1.491357015619745, 43.58750264043419], [1.49135436689745, 43.58750808826231], [1.491351695605113, 43.5875144495302], [1.491349046881832, 43.58751989735818], [1.491346398158078, 43.58752534518609], [1.491342492780704, 43.58753077660839], [1.491339844055893, 43.587536224436136], [1.491335938677243, 43.587541655858196], [1.491332033297895, 43.58754708728011], [1.491328150487789, 43.58755160526209], [1.491324245107115, 43.587557036683734], [1.491320339725744, 43.58756246810524], [1.491315200104256, 43.587566975980565], [1.49131131729164, 43.587571493961924], [1.491306177824384, 43.587575995537236], [1.491301038356369, 43.58758049711233], [1.491294619662898, 43.5875858957209], [1.491288246109389, 43.58758946744955], [1.491283106638916, 43.587593969023814], [1.491276733083891, 43.5875975407518], [1.49127161618269, 43.58760112888577], [1.491265220055349, 43.587605614052904], [1.491258846498059, 43.587609185779904], [1.491252472940024, 43.58761275750654], [1.491244842726364, 43.587616312826235], [1.491238491738069, 43.58761897111234], [1.491232109511236, 43.5876225427247], [1.491224479295168, 43.587626098043025], [1.491218128304971, 43.58762875632801], [1.491210520659035, 43.58763139820567], [1.491201678929068, 43.587633110235984], [1.491195327937149, 43.587635768519704], [1.491187742861421, 43.587637496956106], [1.491180157785268, 43.58763922539201], [1.491172572553013, 43.587640960126976], [1.49116370840384, 43.58764357929458], [1.49115612332625, 43.5876453077289], [1.491148560665215, 43.587646129022566], [1.491140998315323, 43.587646937716556], [1.491139718931378, 43.587647841048145], [1.491212011266497, 43.58818152986323], [1.49121335104463, 43.58838166775671], [1.491165364342959, 43.58859396020718], [1.490636120700257, 43.590271180512325], [1.49064361579403, 43.59027310586887], [1.490652390178763, 43.59027413419919], [1.490659885273409, 43.590276059554704], [1.490667380368526, 43.59027798490971], [1.490674875464117, 43.59027991026424], [1.490681113850598, 43.590281819205565], [1.490689843076225, 43.59028467441062], [1.490697338173346, 43.59028659976368], [1.490703562647884, 43.59028942225577], [1.490709755875834, 43.59029315807313], [1.490718485104422, 43.590296013275996], [1.490724700758206, 43.59029884195334], [1.490730893988405, 43.590302577769556], [1.490737109954879, 43.590305393847046], [1.490743303186499, 43.59030912966259], [1.490750752973402, 43.59031288818935], [1.490755689496297, 43.59031660759224], [1.490761882730193, 43.59032034340677], [1.490766819254369, 43.590324062809174], [1.490772989910432, 43.59032871206191], [1.490779160567439, 43.590333361314286], [1.490784074514615, 43.59033799415473], [1.49078898846254, 43.590342626994975], [1.490792668279224, 43.59034632998469], [1.490797582228468, 43.590350962824544], [1.49080121688847, 43.59035649269158], [1.490807387550433, 43.590361141942395], [1.490811022211925, 43.59036667180911], [1.490814679452739, 43.590371288236874], [1.490818322782475, 43.5903768182165], [1.490820723312774, 43.59038141823286], [1.490824357820967, 43.59038695439866], [1.49082671335086, 43.59039337499285], [1.490830347860312, 43.59039891115846], [1.490832748392385, 43.59040351117453], [1.490835126346454, 43.590409024629295], [1.490836247588595, 43.590414521673004], [1.490838625543409, 43.590420035127686], [1.49083972420776, 43.5904264456101], [1.490840845450636, 43.59043194265371], [1.490841966693713, 43.590437439697304], [1.490841831224047, 43.590442920329934], [1.490842907310881, 43.590450244251016], [1.490842771841272, 43.59045572488362], [1.490842636371638, 43.590461205516206], [1.490843757615414, 43.59046670255972], [1.490843621990132, 43.59047218949186], [1.490842207384303, 43.59047856085264], [1.490842071758855, 43.590484047784756], [1.490840679575195, 43.590489512006314], [1.490839264812945, 43.59049588966656], [1.4908378500504, 43.59050226732682], [1.490835201151669, 43.59050771513724], [1.49083383154528, 43.590512265919934], [1.490831182645757, 43.59051771373024], [1.490828533745762, 43.5905231615405], [1.490825862266744, 43.59052952278941], [1.490823213365759, 43.59053497059951], [1.490818073613088, 43.5905394721484], [1.490815424710979, 43.5905449199583], [1.490811519093253, 43.59055035135685], [1.490807604807827, 43.59055578264206], [1.490803721611884, 43.590560306901196], [1.490799838726802, 43.59056481856102], [1.490794698814176, 43.590569326408385], [1.490790793193045, 43.59057475780617], [1.490785653434635, 43.590579259353554], [1.490780513675464, 43.590583760900685], [1.490775373915539, 43.59058826244758], [1.490770256734261, 43.59059185055555], [1.490765094393414, 43.590597265540666], [1.490757463778436, 43.59060082082443], [1.490752346595051, 43.59060440893157], [1.490745972694753, 43.590607980626494], [1.490739598793707, 43.59061155232106], [1.490733224891916, 43.59061512401526], [1.490726850989382, 43.5906186957091], [1.490720477086099, 43.59062226740258], [1.490712869045675, 43.59062490924467], [1.490706517721298, 43.590627567498714], [1.49069890967961, 43.590630209339885], [1.490692558354074, 43.59063286759313], [1.490684941644109, 43.59063550932019], [1.490678590317414, 43.59063816757267], [1.490669748137153, 43.59063987956048], [1.490662162517649, 43.59064161426013], [1.490654577053444, 43.590643342659696], [1.490646991588812, 43.59064507105876], [1.490639428860868, 43.5906458797191], [1.490630586678392, 43.59064759170389], [1.490623023638447, 43.59064841296233], [1.490615460909771, 43.590649221621064], [1.490607875443299, 43.59065095001757], [1.490600335140341, 43.590650851536246], [1.490591515382411, 43.590651656378995], [1.490583975079392, 43.59065155789662], [1.490576434776396, 43.59065145941374], [1.490568885806407, 43.59065136081718], [1.490560088786307, 43.59065124591931], [1.490551314504682, 43.590650211282544], [1.490550057787549, 43.59065019486841], [1.490372616723995, 43.59142003868258], [1.49040291014114, 43.59172016412473], [1.490434612946243, 43.591963650173035], [1.490599964622334, 43.59259815724005], [1.490870176646609, 43.593009242318495], [1.491193401436687, 43.59336070609675], [1.491345662160146, 43.59355915885209]]}";543;AV JEAN GONORD;33 TULIPIER,110 TILLEUL,62 PIN PARASOL
43.5841520057, 1.43724793843;"{""type"": ""LineString"", ""coordinates"": [[1.436772716398558, 43.58778874516642], [1.436970428034809, 43.58767718872988], [1.437648109565579, 43.58688859645395], [1.437664649449258, 43.58673347075442], [1.437787115392301, 43.58646738008691], [1.437914105249089, 43.586319229901754], [1.437983897954377, 43.58614654906948], [1.438040899893873, 43.5860312675735], [1.438097826672036, 43.58552578414069], [1.43811469760029, 43.584866237295195], [1.438018647860656, 43.5843458934827], [1.437859964626811, 43.583816479049915], [1.437466902028787, 43.58311301196008], [1.437346147839842, 43.582919479627364], [1.436931907007409, 43.58245422448993], [1.436535610185948, 43.582074201586884], [1.436288372800992, 43.581910937700655], [1.436297549463309, 43.581847093277744], [1.43623159206761, 43.5817721871509], [1.436099234671071, 43.581737494643896], [1.435957747324155, 43.581371882936054], [1.435719679989818, 43.58080209265299], [1.435590264603916, 43.58055452981616]]}";188;AVENUE C. SOULA;135 PIN PARASOL,24 POMMIER A FLEURS,81 ERABLE,28 ROBINIER,6 PLATANE,20 PEUPLIER BLANC,10 PEUPLIER
43.597563884, 1.43101682084;"{""type"": ""LineString"", ""coordinates"": [[1.434282329939929, 43.593080719889024], [1.433597897472362, 43.59403003854306], [1.432778446263751, 43.595144743710094], [1.432133947485817, 43.59600594939655], [1.432018764327634, 43.59618257940672], [1.430894258422102, 43.59771622694422], [1.43074030618513, 43.5979334540812], [1.430393709701241, 43.59845418789347], [1.43001990246018, 43.59895718993001], [1.429622877749569, 43.5994827188823], [1.428553040103844, 43.60093941176932], [1.427868232288786, 43.601847566422094], [1.427884937218164, 43.60207806931696]]}";344;ALLEE CHARLES DE FITTE;73 PLATANE,10 ERABLE,94 CHARME PYRAMIDAL
43.5961039239, 1.4133308262;"{""type"": ""LineString"", ""coordinates"": [[1.415886946450912, 43.59608779735249], [1.414436580814314, 43.59606425443116], [1.413529144215714, 43.59604996827704], [1.412595096867344, 43.59614040937188], [1.412312675471884, 43.59617033875143], [1.411195523440196, 43.59614584956147], [1.410775771043213, 43.59613825110657]]}";355;RUE ROQUEMAUREL;66 MICOCOULIER,1 CORYLUS,1 POIRIER DE CHINE
43.5610737943, 1.36470282345;"{""type"": ""LineString"", ""coordinates"": [[1.365389797627853, 43.56112240808644], [1.365146095783959, 43.56121308357879], [1.36497410294033, 43.561253596280295], [1.364698622230614, 43.561310925338574], [1.364524736724333, 43.56132856636638], [1.36435386824699, 43.56132706071328], [1.364229888659586, 43.56098261656035], [1.365097054267454, 43.56067145101799]]}";431;RUE G. ARMAND;17 MICOCOULIER
43.5803453544, 1.37029293763;"{""type"": ""LineString"", ""coordinates"": [[1.370419047704114, 43.58127673478838], [1.370410077499505, 43.581094757222886], [1.370357929532903, 43.58045799983741], [1.37030044484682, 43.580257062728315], [1.37023828048211, 43.580089868739066], [1.37010145230628, 43.5794235836097]]}";285;CHEMIN DE LA GAILLARDIE;18 CHENE
43.5749551432, 1.38253479911;"{""type"": ""LineString"", ""coordinates"": [[1.383627466302748, 43.57531952187494], [1.381442131926015, 43.57459076445981]]}";475;RUE DEODAT ROCHE;21 FRENE
43.5710568246, 1.38609852846;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.385940486133613, 43.5745961220627], [1.386931142156828, 43.573160627130584], [1.387000310761039, 43.57311133603409], [1.386994125623212, 43.57310759463975], [1.38698919681347, 43.57310387078533], [1.38698426800433, 43.57310014693074], [1.386980595689341, 43.57309643431678], [1.386975666881326, 43.57309271046179], [1.386971994400926, 43.57308900414703], [1.386968321920975, 43.57308529783216], [1.386963441365291, 43.573079747129874], [1.386959768886415, 43.57307604081472], [1.386956120533432, 43.573071421076065], [1.386953728507557, 43.57306681887794], [1.386950056030045, 43.573063112562465], [1.386947664004953, 43.5730585103642], [1.386945271980221, 43.57305390816588], [1.386942904081487, 43.573048392544145], [1.386939279857121, 43.57304285938154], [1.386938144159599, 43.573038274723835], [1.386935752136377, 43.573033672525284], [1.386934616439287, 43.57302908786754], [1.386933480742371, 43.573024503209766], [1.386932393297189, 43.57301809170523], [1.386932513926095, 43.573013524588305], [1.386931378396011, 43.57300893363104], [1.386931523150765, 43.57300345309073], [1.386931643779707, 43.57299888597379], [1.386931812660196, 43.57299249201005], [1.386931933289095, 43.572987924893084], [1.386933310242807, 43.572983375317015], [1.386933454997328, 43.57297789477664], [1.386934831950703, 43.572973345200516], [1.386936233029577, 43.57296788220097], [1.386937634108203, 43.5729624192014], [1.386940267385228, 43.57295788716599], [1.386941644337642, 43.572953337589766], [1.38694427761398, 43.572948805554255], [1.386946935015461, 43.57294336009529], [1.386949568290974, 43.57293882805965], [1.386952201566096, 43.572934296023924], [1.386954834840827, 43.57292976398817], [1.386958700479842, 43.572926156616866], [1.386962614202603, 43.57292072869809], [1.386966503633058, 43.57291622050204], [1.386970369270524, 43.57291261313034], [1.386974234741156, 43.57290901205798], [1.386978124336387, 43.57290449756204], [1.386983246129198, 43.572900914029745], [1.386987135723247, 43.572896399533505], [1.386993513837837, 43.572892833541026], [1.386998611504025, 43.57289016343147], [1.387003733294434, 43.57288657989823], [1.387008830959654, 43.572883909788224], [1.387013952748937, 43.572880326254534], [1.387020339524579, 43.57287676038151], [1.387025437188253, 43.57287409027075], [1.387031791174042, 43.57287143769957], [1.387038145159275, 43.57286878512803], [1.387044475019912, 43.57286704597959], [1.386128559402371, 43.57057059672408], [1.386049797326878, 43.57041231689073], [1.385994702819586, 43.5702616840391], [1.385731138123142, 43.56958411819768]], [[1.385731138123142, 43.56958411819768], [1.385560443697536, 43.5691453140346], [1.38539849561508, 43.56871080985774], [1.384836840360193, 43.56732764557614]]]}";274;RUE MESPLE;146 LIQUIDAMBAR
43.5921638061, 1.39237788125;"{""type"": ""LineString"", ""coordinates"": [[1.407548292693548, 43.59357809372335], [1.404369116095809, 43.59298046799768], [1.401694621716272, 43.5925094485492], [1.400591156798585, 43.592301368559724], [1.399395651377547, 43.59205544685556], [1.39850705664795, 43.59204405038756], [1.397785783777113, 43.592220471120655], [1.393481816825466, 43.593283806079405], [1.391648840227195, 43.59370700235797], [1.385515684104184, 43.591425572805555], [1.384928542101966, 43.591235519134024], [1.384215290396466, 43.5910601468898], [1.383709920529161, 43.59096352572765], [1.382150761161681, 43.59068492499184], [1.378458110060485, 43.5901214299936], [1.378060883021455, 43.590071989040176], [1.377752370557939, 43.59004298727141], [1.377256969685663, 43.58999765421994]]}";356;ROUTE DE LARDENNE;141 PLATANE,6 ERABLE,3 ROBINIER,2 LAGERSTROEMIA
43.6330867732, 1.43720402932;"{""type"": ""LineString"", ""coordinates"": [[1.437433489374573, 43.63358834849534], [1.437434078222646, 43.633202548124466], [1.436764007131099, 43.632688899323384]]}";15;RUE COLETTE;9 TILLEUL
43.6252403938, 1.40709479072;"{""type"": ""LineString"", ""coordinates"": [[1.403108720365899, 43.62456219764476], [1.403706972403495, 43.624513988879386], [1.404173520243593, 43.624412808945124], [1.41063861941376, 43.6261868548745], [1.411065747699405, 43.62610803073495]]}";23;AVENUE S. DALI;197 TILLEUL
43.6091883885, 1.4153621694;"{""type"": ""LineString"", ""coordinates"": [[1.415247940809053, 43.609337612248524], [1.415476397998959, 43.60903916468377]]}";34;BOULODROME DES AMIDONIERS;27 PLATANE
43.6373085124, 1.44118388125;"{""type"": ""LineString"", ""coordinates"": [[1.441021991119926, 43.63756298089201], [1.44134577137495, 43.63705404389648]]}";39;RUE C. BERNARD;20 FRENE,8 PIN PARASOL
43.640656606, 1.44101588166;"{""type"": ""LineString"", ""coordinates"": [[1.440059929817888, 43.640679803276825], [1.441602258035866, 43.6406901019649], [1.44187234502445, 43.64040177661334]]}";45;RUE VAN-DICK;31 PIN PARASOL,50 MICOCOULIER,6 ROBINIER
43.60599923, 1.438274525;"{""type"": ""LineString"", ""coordinates"": [[1.438258999712162, 43.60597660843755], [1.43829005028334, 43.606021851556704]]}";69;PLACE A. France;1 PLATANE
43.5970116602, 1.44029323924;"{""type"": ""LineString"", ""coordinates"": [[1.44046261839802, 43.59937533147684], [1.440109681972477, 43.597761552830875], [1.440484224142814, 43.59463063281119]]}";77;QUAI DE TOUNIS;65 PLATANE
43.6020920535, 1.44736092537;"{""type"": ""LineString"", ""coordinates"": [[1.447340338881216, 43.60217542187099], [1.447381511858154, 43.602008685168485]]}";105;PLACE ST GEORGES;14 TILLEUL,1 MICOCOULIER,1 SOPHORA,1 TULIPIER,1 CHENE ROUGE
43.6008802303, 1.44980154482;"{""type"": ""LineString"", ""coordinates"": [[1.449717668546233, 43.60088597104074], [1.449885421084224, 43.600874489572384]]}";110;RUE D'ASTORG;1 ALBIZIA
43.6010635445, 1.45009730484;"{""type"": ""LineString"", ""coordinates"": [[1.450100402571735, 43.60113193991319], [1.450094207102597, 43.60099514899829]]}";111;RUE MALARET;1 TROENE,1 MICOCOULIER,1 PRUNUS
43.6074180092, 1.48161161287;"{""type"": ""LineString"", ""coordinates"": [[1.481506573447194, 43.60751760294588], [1.481716652286643, 43.60731841538487]]}";123;RUE LOUIS PLANA;1 TREMBLE
43.6060530537, 1.48209452528;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.481399221387352, 43.60579109541292], [1.483418930280979, 43.60656574121103], [1.483967631320407, 43.606733654102435]], [[1.48011276558116, 43.605288618946425], [1.481119332484683, 43.605682042990594]]]}";126;AVENUE J. CHAUBET;16 FRENE,18 ROBINIER,4 MELIAS,7 ERABLE,3 LIQUIDAMBAR,4 MAGNOLIA
43.5991987116, 1.45594626167;"{""type"": ""LineString"", ""coordinates"": [[1.455954901643668, 43.59952528026084], [1.455937621701972, 43.59887214290798]]}";132;PORT ST ETIENNE;13 CHENE VERT
43.6004588449, 1.46692681131;"{""type"": ""LineString"", ""coordinates"": [[1.466964485849055, 43.60056527170824], [1.466889136772338, 43.60035241812435]]}";136;EGLISE ST FRANCOIS D'ASSISE;21 PLATANE
43.5966169009, 1.45480905022;"{""type"": ""LineString"", ""coordinates"": [[1.453810334200778, 43.596242297643606], [1.455807766242031, 43.59699150422009]]}";145;ALLEE P. SABATIER;87 PLATANE
43.5925271071, 1.44327153592;"{""type"": ""LineString"", ""coordinates"": [[1.442380018876648, 43.592193127192665], [1.444163052959612, 43.592861087075946]]}";157;ALLEE P. FEUGA;27 PLATANE
43.6135374792, 1.46199253213;"{""type"": ""LineString"", ""coordinates"": [[1.462011047051783, 43.613768502645705], [1.461974017210168, 43.613306455776545]]}";180;RUE L. JOUHAUX;12 ROBINIER
43.6131124404, 1.45970460146;"{""type"": ""LineString"", ""coordinates"": [[1.457746784483184, 43.61179403602024], [1.458184905055119, 43.61210777006949], [1.458517735616769, 43.61232038822147], [1.461096806766645, 43.614042435787916], [1.461672107986057, 43.61441681982776]]}";181;ALLEE POMPIDOU;63 ERABLE,30 CHENE
43.5846625373, 1.43712762857;"{""type"": ""LineString"", ""coordinates"": [[1.436492662236098, 43.583266394211556], [1.436897753294108, 43.58421209459927], [1.436982159282828, 43.58442222585712], [1.437810403625399, 43.586036274694116]]}";187;ALLEE BIENES;123 ERABLE,5 PIN PARASOL
43.5840305871, 1.44922793694;"{""type"": ""LineString"", ""coordinates"": [[1.447989011140639, 43.58438380616658], [1.450466862744703, 43.58367736808298]]}";196;BVD DELACOURTIE;30 PLATANE
43.5850639236, 1.45348264597;"{""type"": ""LineString"", ""coordinates"": [[1.453599017071806, 43.58492660786332], [1.453366274861107, 43.58520123931601]]}";198;PLACE H. RUSSELL;12 PLATANE
43.581846102, 1.44886479565;"{""type"": ""LineString"", ""coordinates"": [[1.448019052573758, 43.584001331954525], [1.449056948259838, 43.58133383046482], [1.449410912203794, 43.58045954574482], [1.449742057827651, 43.57970381616241]]}";200;AVENUE DE L'URSS;44 PLATANE
43.5764501468, 1.45100403997;"{""type"": ""LineString"", ""coordinates"": [[1.450240375123405, 43.57841199946665], [1.451767704813877, 43.574488294214675]]}";202;AVENUE J. JULIEN;35 TILLEUL,2 PLATANE
43.5794124249, 1.45269018197;"{""type"": ""LineString"", ""coordinates"": [[1.452610244152053, 43.57938535365907], [1.452770119792151, 43.579439496131116]]}";210;RUE DE L'ECUREUIL;1 PLATANE,1 MARRONNIER
43.5708582304, 1.45653018194;"{""type"": ""LineString"", ""coordinates"": [[1.457436672610378, 43.571768695901596], [1.455623691264509, 43.56994776492355]]}";218;RUE DES CEDRES;3 ROBINIER,1 MARRONNIER,1 AILANTHE,1 TILLEUL,1 ERABLE,1 MICOCOULIER
43.5706650383, 1.45749225239;"{""type"": ""LineString"", ""coordinates"": [[1.456863869542406, 43.57101012961303], [1.458120635232432, 43.57031994700193]]}";219;RUE DES FRENES;8 FRENE,1 TILLEUL
43.5898068185, 1.451779187;"{""type"": ""LineString"", ""coordinates"": [[1.452557773766857, 43.59091258892039], [1.451000600241369, 43.58870104806136]]}";230;AVENUE FRIZAC;13 NOYERS,26 PTEROCARYAS
43.5831773469, 1.46992725301;"{""type"": ""LineString"", ""coordinates"": [[1.470243004370542, 43.583719273706926], [1.470032478246082, 43.58333845651484], [1.469927466317558, 43.583130453694295], [1.46957418526179, 43.58265945265807]]}";235;AVENUE DU PETIT PRINCE;8 ERABLE,2 CATALPAS,1 FRENE
43.5833021852, 1.47340655361;"{""type"": ""LineString"", ""coordinates"": [[1.473914701059305, 43.58380427781837], [1.473020268677784, 43.58292323738986], [1.472910257865036, 43.58278926614701]]}";240;RUE DE L'EST;26 MICOCOULIER
43.5796631232, 1.48089666171;"{""type"": ""LineString"", ""coordinates"": [[1.48081015327887, 43.579764441485466], [1.480745796533305, 43.579631481251944], [1.48096216233716, 43.579560854992486], [1.481042911869373, 43.57970598482814], [1.480843286002648, 43.579764688054205]]}";245;ROND POINT H. POTEZ;8 PLATANE
43.5865383742, 1.48465932374;"{""type"": ""LineString"", ""coordinates"": [[1.484866107776977, 43.5869420042725], [1.484676910551698, 43.586553845008304], [1.484438062890629, 43.5861424617581]]}";250;RUE ALLEGRE;3 PLATANE
43.5717277327, 1.49105738478;"{""type"": ""LineString"", ""coordinates"": [[1.490672613888325, 43.57330263881385], [1.490845314989941, 43.57265428098312], [1.491743775940882, 43.57196937881443], [1.491996979233688, 43.571823668938634], [1.491796920578565, 43.57143143264077], [1.491681862711481, 43.57137853428148], [1.491585580648273, 43.571377812867716], [1.490669224388158, 43.57185632781575], [1.49051495690087, 43.57190721470639], [1.490401045794294, 43.571864734089715], [1.49013418670892, 43.57141238006071], [1.490176220414363, 43.57129254258322], [1.491681886047358, 43.57062621172777]]}";259;RUE SANTOS DUMONT;10 ROBINIER,43 PRUNUSPISSARDI,3 POIRIER DE CHINE
43.5583703198, 1.39804522764;"{""type"": ""LineString"", ""coordinates"": [[1.395075972661111, 43.55927186682807], [1.398242059912294, 43.5583454501246], [1.4007036330614, 43.55750769209724], [1.400963009190024, 43.55734025214648]]}";290;CHEMIN DE PERPIGNAN;4 ARBRE DE JUDEE
43.5546201374, 1.39722467398;"{""type"": ""LineString"", ""coordinates"": [[1.397150799948241, 43.55328297185235], [1.396310280624024, 43.5538804571165], [1.39702965715501, 43.555365460319244], [1.397134941618924, 43.55541778346316], [1.397329445647255, 43.555419398674765], [1.397489390325642, 43.5553692813758], [1.398859949715878, 43.55480189904599]]}";291;RUE ROCACHE;52 PLATANE,14 CHARME PYRAMIDAL
43.550437854, 1.39338041676;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.389606663035146, 43.54727822452837], [1.390269928510701, 43.54782394158547], [1.39030527817002, 43.547824238962555], [1.39238376197282, 43.549449246052504]], [[1.412045851415852, 43.56721205789932], [1.41195047409532, 43.56708909740389]], [[1.388063531186407, 43.546467905433644], [1.389132588069015, 43.54706847886566]], [[1.41281426669898, 43.56784852232271], [1.412682912827603, 43.567763855591004]], [[1.392715221992769, 43.549734959373794], [1.393938637033394, 43.550645441124075]], [[1.396456489128714, 43.55245408414909], [1.39675382492958, 43.55266233450711]], [[1.396680690355051, 43.552816060561426], [1.396960546703902, 43.553011306476634]], [[1.398531660805273, 43.55431045641448], [1.398410111473088, 43.5541679694042]], [[1.403179526839269, 43.55903033928731], [1.402900619479627, 43.55877081272398]], [[1.403489586217334, 43.55956020183035], [1.403385096151518, 43.55945645410835]]]}";297;ROUTE DE SEYSSES;104 CHENE,9 PLATANE
43.5734230605, 1.42170236365;"{""type"": ""LineString"", ""coordinates"": [[1.421344755468616, 43.57352619972396], [1.422059971834868, 43.57331992124556]]}";306;RUE BERNADETTE;4 POIRIER DE CHINE
43.5888114717, 1.41773968935;"{""type"": ""LineString"", ""coordinates"": [[1.418073813674949, 43.587742886961], [1.417372061395729, 43.589304718716996], [1.418176494145368, 43.58950615763096]]}";319;RUE LAMARTINE;35 CORYLUS,7 TILLEUL,4 ERABLE,1 MARRONNIER
43.579623747, 1.40969595056;"{""type"": ""LineString"", ""coordinates"": [[1.408402926508667, 43.57996133440243], [1.410988974618187, 43.57928615954415]]}";323;IMPASSE BACHAGA BOULAEM;43 PLATANE
43.5819075232, 1.41189855606;"{""type"": ""LineString"", ""coordinates"": [[1.410476304438886, 43.58247106717504], [1.412157887122046, 43.5817963386377], [1.413327730494743, 43.58136190332814]]}";328;RUE DE SAINTONGE;35 ROBINIER,3 TILLEUL,1 MARRONNIER,1 ERABLE
43.5830053634, 1.41142335244;"{""type"": ""LineString"", ""coordinates"": [[1.410410971212937, 43.58297876292873], [1.411502800243036, 43.58300203277572], [1.412435346042762, 43.58304371069762]]}";329;RUE DE LA PICARDIE;13 ROBINIER
43.5834701182, 1.41268841094;"{""type"": ""LineString"", ""coordinates"": [[1.412329527838843, 43.58349036694077], [1.413047294035036, 43.583449869489236]]}";330;IMPASSE DE LANGOUMOIS;9 ROBINIER
43.5956692445, 1.4362553045;"{""type"": ""LineString"", ""coordinates"": [[1.437446886096587, 43.59851731370191], [1.43506372290282, 43.59282117531499]]}";347;COURS DILLON;266 PLATANE
43.6080486287, 1.38305663573;"{""type"": ""LineString"", ""coordinates"": [[1.383282135474673, 43.60803349527962], [1.382831135986827, 43.60806376216143]]}";364;PLACE BISSON;4 ROBINIER
43.6016565258, 1.39103030512;"{""type"": ""LineString"", ""coordinates"": [[1.388923652766042, 43.60218945288643], [1.391018777159638, 43.60155110038373], [1.391246048846748, 43.601504744833825], [1.393180894552043, 43.6013565393847]]}";366;RUE DE MARMIER;44 MARRONNIER
